| Μάθημα                                                                         | Κωδικός | Περιγραφή                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Διδάσκοντες                                                                                           | Εξάμηνο | Περίοδος  | ECTS | ΔΜ | Ώρες | Κατεύθυνση                                                         | Τύπος μαθήματος                                                                              | Κατηγορία                                                  | Ομάδα          | Γονέας | Ενέργειες |
| ΨΗΦΙΑΚΗ ΕΠΕΞΕΡΓΑΣΙΑ ΣΗΜΑΤΟΣ                                                    | 3149    | Γενικευμένη θεωρία ψηφιοποίησης, θέματα βελτίωσης δειγματοληψίας και κβάντισης και compressed sensing. Θεωρία Διακριτού Fourier Μετασχηματισμού (DFT), ορθογώνιοι μετασχηματισμοί (DCT, SVD, κ.λπ.), Ταχείς Αλγόριθμοι (FFT). Φασματική ανάλυση ντετερμινιστικών και τυχαίων σημάτων με DFT και παραμετρικές μεθόδους. Ομομορφική επεξεργασία σημάτων (Cepstrum). Γραμμική Πρόβλεψη. Σχεδίαση γραμμικών ψηφιακών φίλτρων. Επεξεργασία και μοντελοποίηση στατιστικών σημάτων. Βέλτιστα γραμμικά φίλτρα (Wiener). Πολυ-ρυθμική επεξεργασία σημάτων, χρονο-συχνοτικές κατανομές και Διακριτός Μετασχηματισμός Κυματιδίων (Wavelets). Ενδεικτικές συνοπτικές εφαρμογές σε επεξεργασία ηχητικών σημάτων (π.χ. μουσικής και φωνής), βιοϊατρικών σημάτων, συμπίεση δεδομένων, τηλεπικοινωνίες, και πολυ-αισθητηριακά δίκτυα. Εργαστηριακές ασκήσεις.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 | Α. Ροντογιάννης                                                                                       | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Σ, ΣΜ          | -      |           |
| ΦΥΣΙΚΗ ΣΥΜΠΥΚΝΩΜΕΝΗΣ ΥΛΗΣ                                                      | 3158    | Μοντέλο ελεύθερων ηλεκτρονίων. Ιδιότητες θερμικής ισορροπίας. Ιδιότητες μεταφοράς. Κρυσταλλικά πλέγματα. Περίθλαση ακτινοβολίας από κρυστάλλους. Αντίστροφο πλέγμα. Δεσμοί στους κρυστάλλους. Ταξινόμηση των κρυστάλλων. Κίνηση ηλεκτρονίων σε περιοδικό δυναμικό. Θεώρημα Bloch, Ενεργειακές ζώνες. Ημιαγωγοί. Ενεργός μάζα, Πυκνότητα Καταστάσεων, Συγκεντρώσεις φορέων, Ενδογενείς ημιαγωγοί, Νόμος δράσης των μαζών, Εξωγενείς ημιαγωγοί, Συνθήκη ουδετερότητας, Επίπεδο Fermi, Επαφή p-n χωρίς εξωτερική τάση. Ταλαντώσεις πλέγματος. Φωτόνια, Σχέσεις διασποράς, Θερμικές ιδιότητες. Επιφάνειες. Άμορφα υλικά. Το μάθημα περιλαμβάνει εργαστηριακή εξάσκηση. Διδάσκοντες: Β. Γιαννόπαπας                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | -                                                                                                     | Έκτο    | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Ελεύθερα                                                   | -              | -      |           |
| ΤΕΧΝΟΛΟΓΙΚΗ ΟΙΚΟΝΟΜΙΚΗ                                                         | 3161    | Φύση και περιεχόμενο επιχειρηματικών στόχων. Ανταγωνιστικότητα της ελληνικής βιομηχανίας, αποφάσεις που την επηρεάζουν και προσφερόμενες στρατηγικές για την αύξησή της. Οι έξι προσδιοριστικοί παράγοντες του μοναδιαίου κόστους: Τιμές αγοράς, σπατάλη στη χρήση και μίγμα των συντελεστών της παραγωγής (υλικών, εργασίας, κεφαλαίου), βαθμός αξιοποίησης παραγωγικού δυναμικού, οικονομίες κλίμακας και τεχνολογική πρόοδος. Βιομηχανική παραγωγικότητα: έννοιες, μεθοδολογίες μέτρησης και ανάλυσης, ερμηνεία αποτελεσμάτων. Έλεγχος κόστους με έλεγχο παραγωγικότητας. Μοντέλα παραγωγικότητας και σύνδεσή τους με μοντέλα οικονομικής αποδοτικότητας. Εφαρμογές σε επιχειρήσεις και κλάδους της μεταποίησης.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           | Κ. Αραβώσης, Β. Καψάλης (Ε.ΔΙ.Π.)                                                          141        | Έκτο    | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Επιλογή                                                    | Αλλες Επιλογές | -      |           |
| ΣΧΕΔΙΑΣΗ ΣΥΣΤΗΜΑΤΩΝ ΑΥΤΟΜΑΤΟΥ ΕΛΕΓΧΟΥ                                          | 3171    | Ανασκόπηση γραμμικών συστημάτων συνεχούς και διακριτού χρόνου. Προδιαγραφές συμπεριφοράς ΣΑΕ συνεχούς και διακριτού χρόνου. Κλασικές τεχνικές σχεδίασης ελεγκτών ΣΑΕ (γεωμετρικός τόπος ριζών, Nyquist, Bode, Nichols). Σχεδίαση βιομηχανικών ελεγκτών δύο και τριών όρων (PI, PID). Ελεγκτές Προήγησης και Καθυστέρησης Φάσης. Σχεδίαση ΣΑΕ διακριτού χρόνου. Ανασκόπηση του μοντέλου κατάστασης. Σχεδίαση ΣΑΕ στο χώρο κατάστασης (έλεγχος ιδιοτιμών, αποσύζευξη εισόδων – εξόδων, παρατηρητές). Σχεδίαση ελεγκτών σταθεροποίησης κατά Lyapunov. Υλοποίηση αντισταθμιστών με υπολογιστές και επεξεργαστές σήματος. Ο ρόλος του ρυθμού δειγματοληψίας και του μήκους λέξης υπολογιστή και μετατροπέων AD/DA στις επιδόσεις των ελεγκτών. Εφαρμογές στα ηλεκτρομηχανικά συστήματα και τις βιομηχανικές διεργασίες. Εργαστηριακές ασκήσεις. Χρήση Matlab.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Ι. Κορδώνης, Χ. Ψυλλάκης                                                                              | Έκτο    | Εαρινή    | 6    | 0  | 5    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Σ, ΣΜ          | -      |           |
| ΣΥΣΤΗΜΑΤΑ ΔΙΟΙΚΗΣΗΣ                                                            | 3196    | Λειτουργίες της επιχείρησης και λειτουργίες της διοίκησης. Επιχειρηματικός Προγραμματισμός και Στρατηγική. Kαθορισμός οράματος, αποστολής, στόχων και στρατηγικής. Aνάλυση SWOT. Mοντέλα ανταγωνιστικών δυνάμεων και στρατηγικές ανταγωνιστικού πλεονεκτήματος. Ηθική και κοινωνική ευθύνη στην λειτουργία της διοίκησης. Οργάνωση Επιχειρήσεων και Οργανωσιακή Συμπεριφορά. Τυπικές και άτυπες διαστάσεις της οργάνωσης. Τεχνολογικές διαστάσεις και ευέλικτη οργάνωση. Βασικές μέθοδοι και εργαλεία της διαχείρισης ανθρωπίνων πόρων. Λειτουργία της Εμπορίας (Marketing). Στρατηγικό και τακτικό marketing, μίγμα μάρκετινγκ, στρατηγική τμηματοποίησης της αγοράς, κατάρτιση πλάνου marketing & πωλήσεων. Επιχειρηματικότητα: Ρόλος της επιχειρηματικότητας στη σύγχρονη οικονομική πραγματικότητα, ανάπτυξη της επιχειρηματικής ιδέας, έναρξη της επιχειρηματικής δραστηριότητας, πρόσβαση στους αναγκαίους πόρους, βασικά συστατικά στοιχεία ενός επιχειρηματικού σχεδίου, ευκαιρίες και περιορισμοί επιχειρηματικής δραστηριότητας. Ηγεσία. Συστήματα Ελέγχου και Διαχείριση Ποιότητας. Διοίκηση Διαδικασιών. Κλασικά και νέα εργαλεία Διοίκησης Ποιότητας, Διοίκηση Αλλαγών και Καινοτομίας. Μελέτες περιπτώσεων.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     | Δ. Ασκούνης, Ι. Μακαρούνη (Ε.ΔΙ.Π.), Δ. Πανόπουλος (Ε.ΔΙ.Π.)                                          | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατ’ επιλογήν                                                | Ελεύθερα, Υποχρ. Ομάδας                                    | Ο, ΟΜ          | -      |           |
| ΗΛΕΚΤΡΟΝΙΚΗ ΙΙ                                                                 | 3222    | Στο πρώτο μέρος του μαθήματος παρουσιάζονται οι βασικές κυκλωματικές διατάξεις ενισχυτών με χρήση ενός τρανζίστορ MOS, με χρήση των μοντέλων ασθενούς σήματος. Στο δεύτερο μέρος του μαθήματος παρουσιάζονται ενισχυτικές διατάξεις με χρήση ζευγών τρανζίστορ τόσο διπολικών όσο και MOS: CC-CE, CC-CC, Darlington, και CS-CG, υπερακόλουθος πηγής κ.λπ.. Στο τρίτο μέρος του μαθήματος παρουσιάζεται αναλυτικά η δομή και λειτουργία των διαφορικών ενισχυτών με την παρουσίαση του διαφορικού ζεύγους MOS ακολουθούμενη από σύγκριση με το αντίστοιχο διαφορικό ζεύγος με χρήση διπολικών τρανζίστορ. Γίνεται επίσης εισαγωγή στους καθρέφτες ρεύματος με MOS τρανζίστορ για την πόλωση των κυκλωματικών διατάξεων. Τέλος, γίνεται μια εισαγωγή στην ανάλυση μεγάλου σήματος και της παραμόρφωσης και στη συνέχεια παρουσιάζονται τα στάδια εξόδου (ενισχυτές τάξης Α, Β, ΑΒ).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | Ι. Παπανάνος, Ν. Βουδούκης (Ε.ΔΙ.Π.)                                                         93       | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Η, ΗΜ          | -      |           |
| ΜΑΘΗΜΑΤΙΚΗ ΛΟΓΙΚΗ                                                              | 3229    | Προτασιακός Λογισμός: Γλώσσα, Μοναδική αναγνωσιμότητα, Λογικοί σύνδεσμοι, απονομές αλήθειας, σημασιολογικές έννοιες, επάρκεια συνδέσμων, διαζευκτική και συζευκτική κανονική μορφή, θεώρημα συμπάγειας προτασιακού λογισμού, Εφαρμογές. Πρωτοβάθμιος κατηγορηματικός λογισμός: Γλώσσα, μεταβλητές, έννοιες ελεύθερης και δεσμευμένης μεταβλητής, αντικατάσταση, αναλογία με τον προγραμματισμό, η έννοια της δομής, ερμηνεία της γλώσσας, ορισμός της αλήθειας κατά Tarski. Αξιωματικοποίηση της πρωτοβάθμιας Λογικής: Η έννοια του αξιωματικού συστήματος, αναλογίες με αλογοριθμικές έννοιες, η έννοια της συνέπειας, τα θεωρήματα της ορθότητας και τα θεωρήματα της πληρότητας του Goedel, και η ανταποκρισιμότητα των Goedel-Church. Αποδεικτική θεωρία προτασιακού και κατηγορηματικού λογισμού: Το σύστημα Gentzen, προτασιακό resolution, απαλοιφή των τομών, τα συστήματα tableau, η πληρότητα μέσω των συστημάτων tableau.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          | Γ. Κολέτσος, Π. Ποτίκας (Ε.ΔΙ.Π.)                                                                     | Έκτο    | Εαρινή    | 4    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής                                                                           | Ελεύθερα                                                   | -              | -      |           |
| ΕΡΓΑΣΤΗΡΙΟ ΨΗΦΙΑΚΩΝ ΣΥΣΤΗΜΑΤΩΝ                                                 | 3236    | Το μάθημα περιλαμβάνει θεωρία και εργαστηριακές ασκήσεις στα επόμενα θέματα: Συνδυαστικά λογικά κυκλώματα, υλοποιούμενα με διάφορα είδη ολοκληρωμένων κυκλωμάτων. Οι σχετικές ασκήσεις περιλαμβάνουν, μεταξύ άλλων, υλοποίηση λογικών σημάτων και διεργασιών με πύλες όλων των τύπων, με πολυπλέκτες, με αποκωδικοποιητές, με προγραμματίσιμα υλικά, με τρισταθή στοιχεία κ.λπ.. Επίσης περιλαμβάνουν μελέτη και χρήση φωτοδιόδων και ενδεικτών επτά τμημάτων, συγκριτών και κυκλωμάτων αριθμητικών πράξεων (αθροιστών, αφαιρετών, πολλαπλασιαστών κ.λπ.). Επιπλέον, το μάθημα περιλαμβάνει σχεδίαση και υλοποίηση ακολουθιακών κυκλωμάτων με χρήση flip-flops και διαφόρων τύπων μετρητών (απαριθμητών), καθώς και δημιουργία κυκλωμάτων χρονισμού και σχετικών εφαρμογών τους. Ακόμη, συμπεριλαμβάνονται η σχεδίαση και χρήση καταχωρητών, ως και βασικών μονάδων μνήμης. Γίνεται δε εισαγωγή στη σχεδίαση και υλοποίηση μηχανών πεπερασμένου πλήθους καταστάσεων (Finite State Machines, FSM), ως και αλγοριθμικών μηχανών καταστάσεων (Algorithmic State Machines, ASM και ASMD).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         | Γ. Παναγόπουλος, Δ. Πνευματικάτος, Ι. Παναγοδήμος (Ε.ΔΙ.Π.)                                           | Έκτο    | Εαρινή    | 4    | 0  | 3    | -                                                                  | Ελεύθερης επιλογής, Επιλογής κατεύθυνσης                                                     | Ελεύθερα, Επιλογή                                          | Υ, ΥΜ          | -      |           |
| ΠΑΡΑΓΩΓΗ ΗΛΕΚΤΡΙΚΗΣ ΕΝΕΡΓΕΙΑΣ                                                  | 3246    | Στοιχεία θερμοδυναμικής. Ανοικτά-κλειστά θερμοδυναμικά συστήματα. Πρώτο και δεύτερο θερμοδυναμικό αξίωμα. Εντροπία, ενθαλπία, διαθέσιμη ενέργεια (εξέργεια). Διαγράμματα καταστάσεως. Θερμοδυναμικοί κύκλοι Carnot και Rankine. Ατμοηλεκτρικοί σταθμοί παραγωγής: Βελτίωση απόδοσης, αναθέρμανση, υπερθέρμανση, απομαστεύσεις. Περιβαλλοντικές επιπτώσεις. Συμπαραγωγή θερμότητας και ηλεκτρικής ενέργειας. Πλεονεκτήματα ως προς το κόστος και τη μείωση εκπομπών. Υδροηλεκτρικοί σταθμοί παραγωγής: Καμπύλη διάρκειας παροχής, υδραυλικές απώλειες, τύποι υδροστροβίλων, ειδική ταχύτητα. Παραγωγή ηλεκτρικής ενέργειας από μηχανές εσωτερικής καύσεως. Αεριοστρόβιλοι. Μονάδες συνδυασμένου κύκλου.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | Β. Νικολαΐδης                                                                                         | Έκτο    | Εαρινή    | 6    | 0  | 4    | -                                                                  | Ελεύθερης επιλογής, Υποχρεωτικό κατεύθυνσης                                                  | Ελεύθερα, Υποχρ. Ομάδας                                    | Ε, ΕΜ          | -      |           |
| ΣΥΣΤΗΜΑΤΑ ΑΝΑΜΟΝΗΣ                                                             | 3248    | Το μάθημα εισάγει τον σπουδαστή σε μεθόδους αναγωγής προτύπων και ανάλυσης επιδόσεων συστημάτων εξυπηρέτησης για δίκτυα τηλεπικοινωνιών, δίκτυα τύπου Internet και υπολογιστικά συστήματα. Η έμφαση δίνεται σε αναλυτικές μεθόδους της θεωρίας αναμονής (queuing theory) και συμπληρωματικά σε μεθόδους προσομοίωσης (simulation). Η ύλη περιλαμβάνει: • Επισκόπηση εννοιών από την Θεωρία Πιθανοτήτων, με έμφαση σε κατανομές τυχαίων μεταβλητών χωρίς μνήμη (κατανομή Poisson και εκθετική κατανομή), ορισμούς στοχαστικών ανελίξεων Markov, εργοδικότητα, • Ορισμούς και βασικά πρότυπα αναμονής (queuing models), διαδικασίες αφίξεων και εξυπηρέτησης πελατών, χρησιμοποίηση εξυπερετητή, μέση κατάσταση ουράς αναμονής και μέσος χρόνος καθυστέρησης, τύπο του Little, ρυθμαπόδοση (throughput) και πιθανότητα απώλειας, • Διαδικασίες γεννήσεων – θανάτων και εφαρμογές σε απλά συστήματα αναμονής Markov M/M/1, M/M/1/K, M/M/N, M/M/N/N, • Ανοικτά και κλειστά δίκτυα ουρών αναμονής, Θεωρήματα Burke, Jackson και Gordon/Newel και • Εφαρμογές στην ανάλυση επιδόσεων δικτύων μετάδοσης δεδομένων (Internet), τηλεφωνικών δικτύων και υπολογιστικών συστημάτων.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      | Σ. Παπαβασιλείου, Ε. Στάη, Μ. Γραμματικού (Ε.ΔΙ.Π.), Ε. Κοιλανιώτη (Ε.ΔΙ.Π.)                          | Έκτο    | Εαρινή    | 6    | 0  | 4    | ΕΝΕΡΓΕΙΑΣ, ΕΠΙΚΟΙΝΩΝΙΩΝ, ΗΛΕΚΤΡΟΝΙΚΗΣ ΚΑΙ ΣΥΣΤΗΜΑΤΩΝ, ΠΛΗΡΟΦΟΡΙΚΗΣ | Ελεύθερης επιλογής, Επιλογής, Επιλογής κατεύθυνσης, Υποχρεωτικό κατεύθυνσης                  | Ελεύθερα, Επιλογή, Υποχρ. Ομάδας                           | Δ, ΔΜ          | -      |           |
